ID,Feature,Screen,State,Variant,Width,Height,TextScale,Keyboard,Fixture,Filename,SHA256,Notes
AHDASH-V10-0001,Launch & Onboarding,01 Launch,Default,Primary,390,844,1.0,No,No,01_launch_onboarding/01_launch_primary_390x844.png,c2e0d1c19cfa7d04c3cd39ab3f52ea895e9c83f3ac8705753b8bfe32652a0696,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0002,Launch & Onboarding,02 Onboarding,Step 1,Primary,390,844,1.0,No,No,01_launch_onboarding/02_onboarding_step_1_primary_390x844.png,152b8bd3d539da09f170eddd190fb29af1b0e2da0c8466f28135c4cea02032b7,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0003,Launch & Onboarding,02 Onboarding,Step 2,Primary,390,844,1.0,No,No,01_launch_onboarding/02_onboarding_step_2_primary_390x844.png,bd98c36dfa48ac54ec6750902f8342c05da29bd8d39d8bcd72c2144d249918fb,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0004,Launch & Onboarding,02 Onboarding,Step 3,Primary,390,844,1.0,No,No,01_launch_onboarding/02_onboarding_step_3_primary_390x844.png,96abe25101a71c92adf0b091ba4225cd08f7c94d8b370f724fb9191f97afd175,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0005,Launch & Onboarding,02 Onboarding,Step 4,Primary,390,844,1.0,No,No,01_launch_onboarding/02_onboarding_step_4_primary_390x844.png,b40da95fb48c419fca977f840c18d4e13689d4013b908ff7cc5b2f69e83f6146,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0006,Authentication,03 Sign In,Empty / Google available / password hidden,Primary,390,844,1.0,No,No,02_auth/03_sign_in_empty_primary_390x844.png,ace9f835b1c91d03ec72e3c7b5e0c9c7f8bdc396dcd0538acbc6931a2c40a116,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0007,Authentication,04 Create Account,Empty / social auth / password hidden,Primary,390,844,1.0,No,No,02_auth/04_create_account_empty_primary_390x844.png,ac8b6bab9d6c19fbec66bdf1dc11c4df87412a5c12303914d71af7423927523f,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0008,Home,05 Home,Signed in,Primary,390,844,1.0,No,TEST-ONLY,03_home/05_home_signed_in_primary_390x844.png,42f3c2ae9b9b9e25a05308103f8b4b99e108c01801bd6826868095eae3394689,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0009,Categories,06 Category Selection,Six selected,Primary,390,844,1.0,No,TEST-ONLY,04_categories/06_category_selection_six_selected_primary_390x844.png,5067f5806277584f6d9f45c24dbc9f630661e4efbf1a140967befda293b0b7c6,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0010,Categories,07 Category Detail,Populated,Primary,390,844,1.0,No,TEST-ONLY,04_categories/07_category_detail_populated_primary_390x844.png,426ba698d3302f54c8831cb2c7357e07690fcfba52c19677ab97ada32f7e17f3,Exact logical-pixel Flutter render; copied losslessly.
