ID,Feature,Screen,State,Variant,Width,Height,TextScale,Keyboard,Fixture,Filename,SHA256,Notes
AHDASH-V10-0001,Launch & Onboarding,01 Launch,Default,Primary,390,844,1.0,No,No,01_launch_onboarding/01_launch_primary_390x844.png,b032f4ab713dab09277d36c9911ab4a448f29f508b242b2b82522ce03474415d,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0002,Launch & Onboarding,02 Onboarding,Step 1,Primary,390,844,1.0,No,No,01_launch_onboarding/02_onboarding_step_1_primary_390x844.png,f8181e82453026cbc1c355156541c7653fc42fbe9712554db9a8c455caa9dde7,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0003,Launch & Onboarding,02 Onboarding,Step 2,Primary,390,844,1.0,No,No,01_launch_onboarding/02_onboarding_step_2_primary_390x844.png,ce627cef9ae37df6d25a78e85e21ab18992622521ffff09217a74dd5b3c7debd,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0004,Launch & Onboarding,02 Onboarding,Step 3,Primary,390,844,1.0,No,No,01_launch_onboarding/02_onboarding_step_3_primary_390x844.png,029c7565c7e7b01f3ff4152c02a2fd86cc50ddf0d3982a70bfb30d6464a1f756,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0005,Launch & Onboarding,02 Onboarding,Step 4,Primary,390,844,1.0,No,No,01_launch_onboarding/02_onboarding_step_4_primary_390x844.png,e8ebbfec248e4b07ff62259945d52aed86fdcbbfbfe4b67a2b7452cb22429f1e,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0006,Authentication,03 Sign In,Empty / social auth / password hidden,Primary,390,844,1.0,No,No,02_auth/03_sign_in_empty_primary_390x844.png,d6bd4a1f3a6f851c9270ad8feef163eecc4b0ccf849a7f33d6b292f6febaa512,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0007,Authentication,04 Create Account,Empty / social auth / password hidden,Primary,390,844,1.0,No,No,02_auth/04_create_account_empty_primary_390x844.png,deab57772b6556ef9ee551022befaffb92d2d4e9c85625895b454215fa581556,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0008,Home,05 Home,Signed in,Primary,390,844,1.0,No,TEST-ONLY,03_home/05_home_signed_in_primary_390x844.png,d792ef3dd0b77f9cd4f7beb97a4ac64b76078d15a65f633fe64e3c3c909c1560,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0009,Categories,06 Category Selection,Six selected,Primary,390,844,1.0,No,TEST-ONLY,04_categories/06_category_selection_six_selected_primary_390x844.png,f96c59de78a10c3ad0b9eae5ee168b68b70b9da641d26fe03287ca4441ac68d7,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0010,Categories,07 Category Detail,Populated,Primary,390,844,1.0,No,TEST-ONLY,04_categories/07_category_detail_populated_primary_390x844.png,24ac4306c63ac4ee939fe505527693c667dcbcd28e00e6abe4a130c2faacf62e,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0011,Party Setup,08 Team Setup,Populated,Primary,390,844,1.0,No,TEST-ONLY,05_party_setup/08_team_setup_populated_primary_390x844.png,162c00a0ba49f835304a8ea97ed8fb7f8de07c8aecee3da2fb2a58773fad32af,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0012,Party Setup,09 Team Splitter,Automatic populated,Primary,390,844,1.0,No,TEST-ONLY,05_party_setup/09_team_splitter_automatic_primary_390x844.png,54ddf327252c6176287c7015e6a96dab0068a950bc671d0a9a094ab885536f78,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0013,Party Setup,10 Helpers,Three selected,Primary,390,844,1.0,No,TEST-ONLY,05_party_setup/10_helpers_three_selected_primary_390x844.png,9bde0959a75987f634d0d39bc7c23464fc985b019937d133cb45bc6d8e04e184,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0014,Party Setup,11 Ready,Full summary,Primary,390,844,1.0,No,TEST-ONLY,05_party_setup/11_ready_full_summary_primary_390x844.png,b532a4604f5a6f0a359c17f3ae371ad18613ecdf7704e41b43445fa13c37fb59,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0015,Party Gameplay,12 Game Board,Mid-game,Primary,390,844,1.0,No,TEST-ONLY,06_party_gameplay/12_game_board_mid_game_primary_390x844.png,4c3dbf657948e699e3bae5df8d282fe1226d9370a22dd060854dd36ac92ff0eb,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0016,Party Gameplay,13 Text Question,Timer active,Primary,390,844,1.0,No,TEST-ONLY,06_party_gameplay/13_text_question_timer_active_primary_390x844.png,b6a985a6479dd21f8d3baa3b16519d0079ceb95f8f2926c668f64fc71c1d5802,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0017,Party Gameplay,14 Image Question,Loaded image,Primary,390,844,1.0,No,TEST-ONLY,06_party_gameplay/14_image_question_loaded_primary_390x844.png,f83f1e4c0b826367c4ca343f773a38f3f807b2775db578c6b6e306f62ebbd88f,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0018,Party Gameplay,15 Answer Reveal,Correct answer and scoring,Primary,390,844,1.0,No,TEST-ONLY,06_party_gameplay/15_answer_reveal_scoring_primary_390x844.png,4f34614f25de703048ff7ae36941bb06768c90b1fceb3b05271c4dc3f5adc0d0,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0019,Party Gameplay,16 Final Result,Winner A,Primary,390,844,1.0,No,TEST-ONLY,06_party_gameplay/16_final_result_winner_a_primary_390x844.png,cac6f4b04b8fcbf52f8f82ace07996e3a453bfc005276217a7fa10e5f3b85647,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0020,Saved Games & Help,17 How to Play,Default,Primary,390,844,1.0,No,TEST-ONLY,07_saved_games/17_how_to_play_primary_390x844.png,8ca413839a8c65dd69cb81b2308d4b7092500987172ca4551d73c0ef63391d3b,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0021,Saved Games & Help,18 Saved Party Games,Current list,Primary,390,844,1.0,No,TEST-ONLY,07_saved_games/18_saved_party_games_primary_390x844.png,ef98fbdc8dfb11ea13a53727bfb2da8bfbc55e38f96498aab02bf7f487e4f5ba,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0022,Solo,28 Match Setup,Default,Primary,390,844,1.0,No,TEST-ONLY,09_solo/28_match_setup_primary_390x844.png,d278bbac11b8e396649d6781ffd6c61c99cd5d2fcd34f8601ba26a5d5b698be2,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0023,Solo,29 Solo Setup,Configured,Primary,390,844,1.0,No,TEST-ONLY,09_solo/29_solo_setup_primary_390x844.png,b888d527ee70d016ca05375ae47cc8d4f0a60580e9a011fcf447077948576934,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0024,Team Challenge,33 Team Challenge,Current availability,Primary,390,844,1.0,No,TEST-ONLY,10_team_challenge/33_team_challenge_primary_390x844.png,d39ed27f371cdbf8bd769ec95949bf65b933bb6d3870c7133ae8e08b7d45dbc9,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0025,Ranking,34 Ranking,Current,Primary,390,844,1.0,No,TEST-ONLY,11_ranking/34_ranking_primary_390x844.png,3e54093e0d257d4a44763051a58ab106fdf80ca61e7a39915375aba7509d6de6,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0026,Friends,35 Friends,Search idle,Primary,390,844,1.0,No,TEST-ONLY,12_friends/35_friends_primary_390x844.png,bb8a2727bfe57340a6842f540197258ff3a6bc1e6d110291b670fcab8d02b55c,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0027,Blocked Players,36 Blocked Players,Current,Primary,390,844,1.0,No,TEST-ONLY,13_blocked_players/36_blocked_players_primary_390x844.png,089ff127513862e0c23aaca283c29535c9eac0c9923767e7acb313b203bb6f78,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0028,Team Detail,37 Team Detail,Current,Primary,390,844,1.0,No,TEST-ONLY,14_team_detail/37_team_detail_primary_390x844.png,537cc1e30de650a3395842c3e0e7087c6fa17df3ff073bba3424876f043a45ba,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0029,Profile,38 Profile,Normal,Primary,390,844,1.0,No,TEST-ONLY,15_profile/38_profile_primary_390x844.png,5115bdb33bf6e7c47a8e0dfd1e90d57b126d752ebeb87d37ac3a797ae5137f4c,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0030,Notifications,39 Notifications,Current,Primary,390,844,1.0,No,TEST-ONLY,16_notifications/39_notifications_primary_390x844.png,025f9ea73eacfba6f8d02956a4733226833e8a1189b8910f243fdb133662e7e4,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0031,Settings,40 Settings,Signed in,Primary,390,844,1.0,No,TEST-ONLY,17_settings/40_settings_signed_in_primary_390x844.png,e7a10d8235e25ab20601634f73a6307613e561d77283f20c3dce838e5a1e4d16,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0032,Report,41 Report a Problem,Empty form,Primary,390,844,1.0,No,TEST-ONLY,18_report/41_report_problem_empty_primary_390x844.png,c6f84a14911c0a98f4a71b0d5ee32d422f00818a017e8bf06f2d0d4641df43d2,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0033,Football Preferences,42 Football Preferences,Selected,Primary,390,844,1.0,No,TEST-ONLY,19_football_preferences/42_football_preferences_selected_primary_390x844.png,12d3c66215380c2e39dfba8619befc6d1358947f456f483647ae1d2cbacf78a9,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0034,Premium,43 Premium,Inactive entitlement / packages available / monthly selected,Primary,390,844,1.0,No,TEST-ONLY,20_premium/43_premium_inactive_primary_390x844.png,eb9b84222efebe32e5bb4af0f3d2c5736a4cead5e473c69ab7f1432244e5622f,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0035,Team Challenge,33 Team Challenge,Verified result,Primary,390,844,1.0,No,TEST-ONLY,10_team_challenge/33_team_challenge_result_primary_390x844.png,f4aca6754acd7225cf68a64623c93481256b9194b44ed06c2bc3fa952e677cef,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0036,Team Challenge,33 Team Challenge,Unavailable,Primary,390,844,1.0,No,TEST-ONLY,10_team_challenge/33_team_challenge_unavailable_primary_390x844.png,e92e991a3cc3e92f724b3c53e89fe79847ccc1b1bfeaf6cee71d2e9f65af55ae,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0037,Tournament,19 Tournament Hub,Populated,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/19_tournament_hub_populated_primary_390x844.png,924f1b272171a6daae0172a1bd815561d40ea1dd9d962e589c85836c8c1983db,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0038,Tournament,20 Create Tournament,Form,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/20_create_tournament_form_primary_390x844.png,0c89032a2d57e4f8343dcc1d4cd2ec326edf871e5f53f5fb3da5fdef398aab92,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0039,Tournament,21 Tournament Teams,Populated,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/21_tournament_teams_populated_primary_390x844.png,98e09a075a4ae60724045bfb3624fbde83a7574b02fda1818b2b05cdefd18c6b,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0040,Tournament,22 Tournament Draw,Draw,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/22_tournament_draw_primary_390x844.png,81974383549817be357ef41181c8c0d77ab656185671862a5e84bb55e58e0ae9,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0041,Tournament,23 Tournament Bracket,Initial,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/23_tournament_bracket_initial_primary_390x844.png,d328837c05cfeadfcaa0e7c0ae4e69e32f826e33a3fe52f83cecb200d212277c,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0042,Tournament,23 Tournament Bracket,Semifinals,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/23_tournament_bracket_semifinals_primary_390x844.png,14d5186120a601279b630ba6afb85de519efe358b70aa279199b3c411a30a69f,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0043,Tournament,23 Tournament Bracket,Final stage,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/23_tournament_bracket_final_primary_390x844.png,ab47286dccb811872c4d21d092d73eaaa2427a3f9a525822592bead27617d223,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0044,Tournament,26 Tournament Match,Active,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/26_tournament_match_active_primary_390x844.png,3ea46afbe5bfc89b4d7b8805df28dcc061dc74067e238f7409d22111b1674a09,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0045,Tournament,27 Tournament Champion,Champion,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/27_tournament_champion_primary_390x844.png,2978e08109a56fccb5c007581fa9b89b6a161b26bd1455b742d22625669bd77f,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0046,Launch & Onboarding,01 Launch,Default,Compact,360,800,1.0,No,No,26_compact/01_launch_compact_360x800.png,614894c0b5845d6a7d815cde3f51555821dec64fb934a9c94c118617ad193890,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0047,Launch & Onboarding,02 Onboarding,Step 1,Compact,360,800,1.0,No,No,26_compact/02_onboarding_step_1_compact_360x800.png,acbe679953c708c5867f3b21a8e09cb07c2a9ab85ddc17a823e21b69ea8a617a,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0048,Launch & Onboarding,02 Onboarding,Step 2,Compact,360,800,1.0,No,No,26_compact/02_onboarding_step_2_compact_360x800.png,97e22310fd45b5e5963388a3acc3039b96019786eed6ff88c7c03af10f4046de,Exact logical-pixel Flutter render; copied losslessly.
