screen,mean_abs_difference,rms_difference,changed_pixels_percent
01_launch,6.713,30.642,15.821
03_sign_in,36.788,84.184,59.274
05_home,12.381,40.546,40.980
06_categories,42.908,77.598,68.099
12_board,21.733,55.612,61.091
13_text_question,22.485,58.388,58.759
14_image_question,32.646,71.416,55.990
15_reveal,15.866,40.170,76.472
16_result,15.105,47.299,48.074
19_tournament_hub,27.494,57.142,45.660
23_bracket,16.190,44.572,50.953
27_champion,15.245,45.697,38.997
34_ranking,7.213,31.276,10.444
38_profile,28.439,61.539,53.308
40_settings,14.792,39.898,40.218
43_premium,21.026,52.272,51.367
