screen,mean_abs_difference,rms_difference,changed_pixels_percent
01_launch,6.626,30.224,15.598
03_sign_in,79.620,117.179,76.778
05_home,28.415,53.864,96.299
06_categories,59.666,94.310,79.708
12_board,21.063,55.010,59.976
13_text_question,23.245,60.047,57.643
14_image_question,39.543,79.164,60.964
15_reveal,17.637,41.871,79.240
16_result,17.087,48.875,56.332
19_tournament_hub,27.489,56.932,47.302
23_bracket,20.904,51.372,60.898
27_champion,14.606,44.508,36.074
34_ranking,7.587,32.356,10.739
38_profile,26.204,58.526,54.976
40_settings,14.942,39.464,42.757
43_premium,22.897,55.457,51.751
