reference,before_score,after_score,mean_abs_difference,rms_difference,comparison_policy
01_launch_compact_360x800,98.40,98.40,4.074,25.558,safe-area + canonical keyboard normalization
01_launch_primary_390x844,97.58,97.58,6.183,29.398,safe-area + canonical keyboard normalization
02_onboarding_1_primary_390x844,92.97,96.90,7.907,33.033,safe-area + canonical keyboard normalization
02_onboarding_2_primary_390x844,93.02,97.06,7.501,32.534,safe-area + canonical keyboard normalization
02_onboarding_3_primary_390x844,93.30,97.24,7.044,30.836,safe-area + canonical keyboard normalization
02_onboarding_4_primary_390x844,93.13,97.21,7.106,31.172,safe-area + canonical keyboard normalization
03_sign_in_compact_360x800,75.65,88.93,28.233,66.543,safe-area + canonical keyboard normalization
03_sign_in_keyboard_390x844,75.91,89.87,25.836,66.593,safe-area + canonical keyboard normalization
03_sign_in_primary_390x844,80.62,94.86,13.096,39.502,safe-area + canonical keyboard normalization
04_create_account_compact_360x800,72.66,77.18,58.202,103.257,safe-area + canonical keyboard normalization
04_create_account_keyboard_390x844,82.35,88.37,29.663,74.006,safe-area + canonical keyboard normalization
04_create_account_primary_390x844,79.47,93.52,16.524,46.798,safe-area + canonical keyboard normalization
05_home_compact_360x800,35.98,94.68,13.576,40.883,safe-area + canonical keyboard normalization
05_home_primary_390x844,91.07,95.37,11.819,38.205,safe-area + canonical keyboard normalization
06_category_search_keyboard_390x844,88.18,83.72,41.506,79.919,safe-area + canonical keyboard normalization
06_category_selection_compact_360x800,76.80,78.37,55.165,91.857,safe-area + canonical keyboard normalization
06_category_selection_primary_390x844,78.09,83.93,40.986,74.923,safe-area + canonical keyboard normalization
07_category_detail_compact_360x800,81.28,81.28,47.724,83.806,safe-area + canonical keyboard normalization
07_category_detail_primary_390x844,77.85,82.07,45.724,82.187,safe-area + canonical keyboard normalization
08_team_setup_compact_360x800,92.07,92.59,18.890,49.216,safe-area + canonical keyboard normalization
08_team_setup_keyboard_390x844,95.41,95.41,11.706,37.035,safe-area + canonical keyboard normalization
08_team_setup_primary_390x844,93.93,94.28,14.594,41.646,safe-area + canonical keyboard normalization
09_team_splitter_compact_360x800,96.00,96.00,10.189,33.038,safe-area + canonical keyboard normalization
09_team_splitter_keyboard_390x844,95.30,95.58,11.279,35.250,safe-area + canonical keyboard normalization
09_team_splitter_primary_390x844,92.02,96.78,8.217,29.062,safe-area + canonical keyboard normalization
10_helpers_compact_360x800,89.92,91.15,22.573,54.962,safe-area + canonical keyboard normalization
10_helpers_primary_390x844,92.04,92.80,18.353,47.434,safe-area + canonical keyboard normalization
11_ready_compact_360x800,91.03,90.72,23.654,57.610,safe-area + canonical keyboard normalization
11_ready_primary_390x844,92.95,92.42,19.318,49.809,safe-area + canonical keyboard normalization
17_how_to_play_primary_390x844,90.88,93.48,16.627,45.363,safe-area + canonical keyboard normalization
18_saved_games_primary_390x844,92.63,90.88,23.268,55.384,safe-area + canonical keyboard normalization
28_match_setup_primary_390x844,83.51,94.93,12.916,37.010,safe-area + canonical keyboard normalization
29_solo_setup_primary_390x844,93.16,92.70,18.623,50.356,safe-area + canonical keyboard normalization
33_team_challenge_primary_390x844,93.44,93.03,17.780,45.758,safe-area + canonical keyboard normalization
34_ranking_compact_360x800,97.31,97.27,6.974,30.385,safe-area + canonical keyboard normalization
34_ranking_primary_390x844,97.37,97.38,6.688,29.901,safe-area + canonical keyboard normalization
35_friends_primary_390x844,93.26,92.70,18.612,45.603,safe-area + canonical keyboard normalization
35_friends_search_keyboard_390x844,93.47,93.09,17.630,45.598,safe-area + canonical keyboard normalization
36_blocked_players_primary_390x844,97.31,96.59,8.701,33.825,safe-area + canonical keyboard normalization
37_team_detail_primary_390x844,93.03,91.61,21.390,49.129,safe-area + canonical keyboard normalization
